id,name,length,created_at,updated_at,network_id,end_node_id,start_node_id,is_default,edge_algorithm_id
38,McMaster Museum of Art-Burke Science Building (BSB),246.89290838078358,2025-07-10 01:10:57.609225,2025-07-10 01:10:57.609243,1,8,6,0,2
39,David Braley Athletic Centre (DBAC)-McMaster Museum of Art,257.70761930100076,2025-07-10 01:10:57.613669,2025-07-10 01:10:57.613693,1,6,7,0,2
40,David Braley Athletic Centre (DBAC)-Burke Science Building (BSB),431.60011116650975,2025-07-10 01:10:57.618120,2025-07-10 01:10:57.618145,1,8,7,0,2
41,David Braley Athletic Centre (DBAC)-Phoenix Craft House and Grill,407.4292983430889,2025-07-10 01:10:57.622185,2025-07-10 01:10:57.622206,1,2,7,0,2
42,Burke Science Building (BSB)-Phoenix Craft House and Grill,88.86636958162973,2025-07-10 01:10:57.644532,2025-07-10 01:10:57.644554,1,2,8,0,2
43,Burke Science Building (BSB)-John Hodgins Engineering Building (JHE),175.4303913740396,2025-07-10 01:10:57.650148,2025-07-10 01:10:57.650186,1,5,8,0,2
44,Burke Science Building (BSB)-McMaster Nuclear Reactor (MNR),155.66918657834657,2025-07-10 01:10:57.656477,2025-07-10 01:10:57.656511,1,1,8,0,2
45,Arthur Bourns Building (ABB)-McMaster Nuclear Reactor (MNR),117.37734827114254,2025-07-10 01:10:57.662044,2025-07-10 01:10:57.662065,1,1,9,0,2
46,Arthur Bourns Building (ABB)-Bistro in Mary Keyes Residence,219.11931022047654,2025-07-10 01:10:57.666579,2025-07-10 01:10:57.666614,1,3,9,0,2
47,Arthur Bourns Building (ABB)-John Hodgins Engineering Building (JHE),172.4935561008045,2025-07-10 01:10:57.671514,2025-07-10 01:10:57.671547,1,5,9,0,2
48,McMaster Nuclear Reactor (MNR)-Bistro in Mary Keyes Residence-0-2,129.19478220067973,2025-07-10 01:31:07.718887,2025-07-10 01:31:07.718912,1,3,1,0,3
49,McMaster Nuclear Reactor (MNR)-John Hodgins Engineering Building (JHE)-0-4,127.11160950678129,2025-07-10 01:31:07.723827,2025-07-10 01:31:07.723847,1,5,1,0,3
50,McMaster Nuclear Reactor (MNR)-Burke Science Building (BSB)-0-7,155.66918657834657,2025-07-10 01:31:07.729032,2025-07-10 01:31:07.729052,1,8,1,0,3
51,McMaster Nuclear Reactor (MNR)-Arthur Bourns Building (ABB)-0-8,117.37734827114254,2025-07-10 01:31:07.733686,2025-07-10 01:31:07.733707,1,9,1,0,3
52,Phoenix Craft House and Grill-Bistro in Mary Keyes Residence-1-2,142.919488169333,2025-07-10 01:31:07.738324,2025-07-10 01:31:07.738345,1,3,2,0,3
53,Phoenix Craft House and Grill-Burke Science Building (BSB)-1-7,88.86636958162973,2025-07-10 01:31:07.742510,2025-07-10 01:31:07.742527,1,8,2,0,3
54,Bistro in Mary Keyes Residence-Burke Science Building (BSB)-2-7,162.94659253366277,2025-07-10 01:31:07.746063,2025-07-10 01:31:07.746081,1,8,3,0,3
