id,polyline,distance_meters,duration_seconds,edge_id,translation_id
39,ox`gGtpxfN\C\U@p@BrA@|@ZALD`@GFA@jA?F,195,163,19,2
40,kk`gG|kxfNOTgADO@ANIXQVOLGD?PU?A@?N@`B?p@`@CZ?HP@TE~APGf@ETCNAR??Oh@?@??@?\,395,326,20,2
41,yn`gGruxfNBLEjBZKl@Ah@E?Of@A@@@@?F?T,159,130,21,3
42,yn`gGruxfNGM[?aAFw@J@rA,126,103,22,3
43,yn`gGruxfNGM[?a@B?q@AaB?OVA?QFENMPWHY@ONAfAENU,236,199,23,3
44,ox`gGtpxfN\C\U?qA?e@Jw@JFX?^E?H?J,156,128,24,3
45,ox`gGtpxfN\C\U@p@BrA@|@ZALD`@GFA@jA?F,195,163,25,3
46,ox`gGtpxfN\C\Ub@Cb@?jAB\J@l@?rBr@EH@FH?B,243,198,26,3
47,us`gGlxxfNAsAv@K`AGZ?FL,126,101,27,3
48,us`gGlxxfNAsAe@HKEQ?O@A]AcACaBg@XQ?A?,195,157,28,3
49,qs`gGtxxfNRzA~B??k@@WZKl@ALCZA?Of@A@@@??B?Z,248,202,29,3
50,mi`gGzywfNAp@?^ENAGM[S[QKOCuABu@@c@@O]CGAAQMWUUGMCWBWEYDY@,317,259,30,3
51,mi`gGzywfNAp@?^ENDRAr@EVAHQRKRC^ANJ@VHx@z@KHoAdCS?BdA,306,246,31,3
52,mi`gGzywfNAp@?^ENDRAr@EVAHQRKRC^AN}@BkAB?b@BzBU@_A?gAbA?H?J,377,304,32,3
53,kk`gG|kxfNOTgADO@ANIXQVOLGD?PU?A@?N@`B?p@`@CZ?FL,236,196,33,3
54,kk`gG|kxfNCeAO?sAD[FqCF?T,190,153,34,3
55,kk`gG|kxfNOTgADO@ANIXQVOLGD?PU?A@?N@`B?p@`@CZ?HP@TE~APGf@ETCNAR??Oh@?@??@?\,395,326,35,3
56,{w`gGbxwfNUAu@U[UUWYq@ISOQSGW?cBBs@DIN?lC,300,251,36,3
57,sw`gGbxwfNXAXEVDJNTABMLBLFHJTPFFP`@|@Ar@AlA?PJVb@JZDO?Q?U@g@?A,318,260,37,3
58,{w`gGbxwfNUAKAETCh@?zBNzAPzA?t@FB\l@P`@PNf@l@PP?H?J,305,248,38,3
59,{cagGdxwfN?_C?MHON?jAGhAAR@PJRd@N^PXVTx@\`@B,300,253,39,3
